,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,STATUS,LAST UPDATE,AVAILABLE BIKES,DATES
98,57,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",False,False,23,10,OPEN,1641392321000,13,2022-01-05 14:18:41
99,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),"{'lat': 53.341359, 'lng': -6.292951}",False,False,40,8,OPEN,1641391848000,32,2022-01-05 14:10:48
100,41,dublin,HARCOURT TERRACE,Harcourt Terrace,"{'lat': 53.332763, 'lng': -6.257942}",False,False,20,6,OPEN,1641391770000,14,2022-01-05 14:09:30
101,3,dublin,BOLTON STREET,Bolton Street,"{'lat': 53.351182, 'lng': -6.269859}",False,False,20,10,OPEN,1641391844000,10,2022-01-05 14:10:44
102,40,dublin,JERVIS STREET,Jervis Street,"{'lat': 53.3483, 'lng': -6.266651}",False,False,21,4,OPEN,1641391954000,17,2022-01-05 14:12:34
103,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,"{'lat': 53.346057, 'lng': -6.268001}",False,False,29,13,OPEN,1641392254000,16,2022-01-05 14:17:34
104,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),"{'lat': 53.354663, 'lng': -6.278681}",False,False,40,16,OPEN,1641392093000,24,2022-01-05 14:14:53
105,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,"{'lat': 53.356299, 'lng': -6.258586}",False,False,30,12,OPEN,1641391860000,18,2022-01-05 14:11:00
106,39,dublin,WILTON TERRACE,Wilton Terrace,"{'lat': 53.332383, 'lng': -6.252717}",False,False,20,13,OPEN,1641391893000,7,2022-01-05 14:11:33
107,83,dublin,EMMET ROAD,Emmet Road,"{'lat': 53.340714, 'lng': -6.308191}",False,False,40,23,OPEN,1641392059000,17,2022-01-05 14:14:19
108,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),"{'lat': 53.347802, 'lng': -6.292432}",False,False,40,27,OPEN,1641392001000,13,2022-01-05 14:13:21
109,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,"{'lat': 53.34218, 'lng': -6.254485}",False,False,30,14,OPEN,1641392287000,16,2022-01-05 14:18:07
110,88,dublin,BLACKHALL PLACE,Blackhall Place,"{'lat': 53.3488, 'lng': -6.281637}",False,False,30,22,OPEN,1641392226000,8,2022-01-05 14:17:06
